Rank,Stock,Ticker,Type,Quantity,Market Value,% Portfolio,Previous % Portfolio,Change,% Change,Change Type,% Ownership,Sector,Source Type,Source Date,Avg Price
78,ACTIVISION BLIZZARD INC,ATVI,N/A,250000.0,23250000.0,0.131648,N/A,250000.0,N/A,NEW,0.0322683,INFORMATION TECHNOLOGY,13F,03/31/2021,93.0
79,MELCO RESORTS & ENTERTAINMENT LIMITED AD ADR,MLCO,CALL,1000000.0,19910000.0,0.112736,N/A,1000000.0,N/A,NEW,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
80,LAUREATE EDUCATION INC  CLASS A,LAUR,N/A,602864.0,8193000.0,0.0463911,0.0382,0.0,0.0,N/A,0.5573310,CONSUMER DISCRETIONARY,13F,03/31/2021,14.64
81,MICROSOFT CORP.,MSFT,CALL,0.0,0.0,0.0,1.2092,-1250000.0,-100.0,SOLDALL,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
82,MICROSOFT CORP.,MSFT,N/A,0.0,0.0,0.0,1.2026,-1243100.0,-100.0,SOLDALL,0.0000000,INFORMATION TECHNOLOGY,13F,03/31/2021,170.36
83,ANALOG DEVICES INC,ADI,N/A,0.0,0.0,0.0,0.5301,-825000.0,-100.0,SOLDALL,0.0000000,INFORMATION TECHNOLOGY,13F,03/31/2021,147.73
84,S&P GLOBAL INC. (MCGRAW-HILL INC.),SPGI,N/A,0.0,0.0,0.0,0.6434,-450000.0,-100.0,SOLDALL,0.0000000,COMMUNICATIONS,13F,03/31/2021,328.73
85,SIMON PROPERTY GROUP  INC.,SPG,PUT,0.0,0.0,0.0,0.4636,-1250000.0,-100.0,SOLDALL,N/A,REAL ESTATE,13F,03/31/2021,N/A
86,VIATRIS INC,VTRS,PUT,0.0,0.0,0.0,0.5282,-6480000.0,-100.0,SOLDALL,N/A,HEALTH CARE,13F,03/31/2021,N/A
87,DENTSPLY INTERNATIONAL INC. (1983),XRAY,N/A,0.0,0.0,0.0,0.501,-2200000.0,-100.0,SOLDALL,0.0000000,HEALTH CARE,13F,03/31/2021,52.36
88,FISERV INC.,FISV,N/A,0.0,0.0,0.0,4.3076,-8698349.0,-100.0,SOLDALL,0.0000000,INFORMATION TECHNOLOGY,13F,03/31/2021,98.83
89,KROGER CO.,KR,PUT,0.0,0.0,0.0,0.1381,-1000000.0,-100.0,SOLDALL,N/A,CONSUMER STAPLES,13F,03/31/2021,N/A
90,EXPEDIA GROUP INC,EXPE,CALL,0.0,0.0,0.0,0.8638,-1500000.0,-100.0,SOLDALL,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
91,ADVANCED MICRO DEVICES INC,AMD,N/A,0.0,0.0,0.0,1.4875,-3729300.0,-100.0,SOLDALL,0.0000000,INFORMATION TECHNOLOGY,13F,03/31/2021,86.24
92,AVIS BUDGET GROUP INC. (CUC INTERNATIONAL - CENDANT),CAR,N/A,0.0,0.0,0.0,0.2596,-1600000.0,-100.0,SOLDALL,0.0000000,TRANSPORTS,13F,03/31/2021,22.89
93,VIACOMCBS INC. CLASS B,VIAC,PUT,0.0,0.0,0.0,0.5283,-3260000.0,-100.0,SOLDALL,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
94,AUTOZONE INC.,AZO,N/A,0.0,0.0,0.0,1.1601,-225000.0,-100.0,SOLDALL,0.0000000,CONSUMER DISCRETIONARY,13F,03/31/2021,924.66
95,ADVANCE AUTO PARTS  INC.,AAP,CALL,0.0,0.0,0.0,0.8563,-1250000.0,-100.0,SOLDALL,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
96,STANLEY BLACK & DECKER INC.,SWK,N/A,0.0,0.0,0.0,0.0777,-100000.0,-100.0,SOLDALL,0.0000000,CONSUMER DISCRETIONARY,13F,03/31/2021,178.56
97,TRINITY INDUSTRIES INC,TRN,PUT,0.0,0.0,0.0,0.1148,-1000000.0,-100.0,SOLDALL,N/A,INDUSTRIALS,13F,03/31/2021,N/A
98,WW INTL INC,WW,PUT,0.0,0.0,0.0,0.0531,-500000.0,-100.0,SOLDALL,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
99,MATCH GROUP INC.,MTCH,N/A,0.0,0.0,0.0,0.7431,-1130000.0,-100.0,SOLDALL,0.0000000,CONSUMER DISCRETIONARY,13F,03/31/2021,151.19
100,ABERCROMBIE & FITCH CO.,ANF,N/A,0.0,0.0,0.0,0.0443,-500000.0,-100.0,SOLDALL,0.0000000,CONSUMER DISCRETIONARY,13F,03/31/2021,20.36
101,ADOBE SYSTEMS  INC.,ADBE,N/A,0.0,0.0,0.0,1.4862,-683243.0,-100.0,SOLDALL,0.0000000,INFORMATION TECHNOLOGY,13F,03/31/2021,402.0
102,MERCADOLIBRE INC,MELI,N/A,0.0,0.0,0.0,1.4572,-200000.0,-100.0,SOLDALL,0.0000000,COMMUNICATIONS,13F,03/31/2021,1675.22
103,LIGAND PHARMACEUTICALS  INC.,LGND,PUT,0.0,0.0,0.0,0.3893,-900000.0,-100.0,SOLDALL,N/A,HEALTH CARE,13F,03/31/2021,N/A
104,GAMESTOP CORP.  CLASS A,GME,PUT,0.0,0.0,0.0,0.4917,-6000000.0,-100.0,SOLDALL,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
105,RYMAN HOSPITALITY PROPERTIES  INC. REIT,RHP,N/A,0.0,0.0,0.0,0.3316,-1125000.0,-100.0,SOLDALL,0.0000000,CONSUMER DISCRETIONARY,13F,03/31/2021,40.93
106,FIRST MAJESTIC SILVER CORP,AG,PUT,0.0,0.0,0.0,0.3215,-5500000.0,-100.0,SOLDALL,N/A,MATERIALS,13F,03/31/2021,N/A
107,INVESCO SOLAR ETF,TAN,PUT,0.0,0.0,0.0,0.4469,-1000000.0,-100.0,SOLDALL,NO DATA,ENERGY,13F,03/31/2021,N/A
108,MSCI INC,MSCI,N/A,0.0,0.0,0.0,0.874,-450000.0,-100.0,SOLDALL,0.0000000,FINANCE,13F,03/31/2021,371.74
109,CRYOPORT INC,CYRX,PUT,0.0,0.0,0.0,0.0763,-400000.0,-100.0,SOLDALL,N/A,HEALTH CARE,13F,03/31/2021,N/A
110,AMC NETWORKS INC,AMCX,PUT,0.0,0.0,0.0,0.0933,-600000.0,-100.0,SOLDALL,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
111,TWITTER INC,TWTR,N/A,0.0,0.0,0.0,0.1413,-600000.0,-100.0,SOLDALL,0.0000000,COMMUNICATIONS,13F,03/31/2021,44.5
112,JD.COM INC ADR,JD,N/A,0.0,0.0,0.0,1.3782,-3604990.0,-100.0,SOLDALL,0.0000000,CONSUMER DISCRETIONARY,13F,03/31/2021,49.4
113,ALIBABA GROUP HOLDING LTD ADR,BABA,N/A,0.0,0.0,0.0,0.911,-900000.0,-100.0,SOLDALL,0.0000000,COMMUNICATIONS,13F,03/31/2021,214.85
114,OLLIES BARGAIN OUTLET HOLDINGS INC,OLLI,PUT,0.0,0.0,0.0,0.1778,-500000.0,-100.0,SOLDALL,N/A,CONSUMER STAPLES,13F,03/31/2021,N/A
115,TABULA RASA HEALTHCARE INC,TRHC,PUT,0.0,0.0,0.0,0.0279,-150000.0,-100.0,SOLDALL,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
116,SEA LTD ADR,SE,N/A,0.0,0.0,0.0,0.5627,-650000.0,-100.0,SOLDALL,0.0000000,INFORMATION TECHNOLOGY,13F,03/31/2021,122.37
117,ADT INC,ADT,PUT,0.0,0.0,0.0,0.1024,-3000000.0,-100.0,SOLDALL,N/A,INDUSTRIALS,13F,03/31/2021,N/A
118,ANAPLAN INC,PLAN,N/A,0.0,0.0,0.0,0.4375,-1400000.0,-100.0,SOLDALL,0.0000000,INFORMATION TECHNOLOGY,13F,03/31/2021,54.2
119,GSX TECHEDU INC,GOTU,PUT,0.0,0.0,0.0,0.1687,-750000.0,-100.0,SOLDALL,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
120,DATADOG INC,DDOG,N/A,0.0,0.0,0.0,0.4067,-950000.0,-100.0,SOLDALL,0.0000000,INFORMATION TECHNOLOGY,13F,03/31/2021,102.16
121,SHIFT4 PAYMENTS  INC.,FOUR,N/A,0.0,0.0,0.0,0.1643,-501000.0,-100.0,SOLDALL,0.0000000,FINANCE,13F,03/31/2021,75.4
122,AIRBNB  INC.,ABNB,N/A,0.0,0.0,0.0,0.1915,-300000.0,-100.0,SOLDALL,0.0000000,CONSUMER DISCRETIONARY,13F,03/31/2021,146.8
