SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20201113,345370860,F,71385.0,FORD MOTOR CO;COM STK USD0.01 ,8.21
20201116,345370860,F,88330.0,FORD MOTOR CO;COM STK USD0.01 ,8.54
20201117,345370860,F,1200.0,FORD MOTOR CO;COM STK USD0.01 ,8.8
20201118,345370860,F,7216.0,FORD MOTOR CO;COM STK USD0.01 ,8.75
20201119,345370860,F,8892.0,FORD MOTOR CO;COM STK USD0.01 ,8.82
20201124,345370860,F,72917.0,FORD MOTOR CO;COM STK USD0.01 ,8.86
20201203,345370860,F,135000.0,FORD MOTOR CO;COM STK USD0.01 ,9.2
20201204,345370860,F,12924.0,FORD MOTOR CO;COM STK USD0.01 ,9.21
20201207,345370860,F,17300.0,FORD MOTOR CO;COM STK USD0.01 ,9.34
20201208,345370860,F,1814.0,FORD MOTOR CO;COM STK USD0.01 ,9.22
20201209,345370860,F,12615.0,FORD MOTOR CO;COM STK USD0.01 ,9.25
20201211,345370860,F,13974.0,FORD MOTOR CO;COM STK USD0.01 ,9.12
20201215,345370860,F,30200.0,FORD MOTOR CO;COM STK USD0.01 ,8.91
20201216,345370860,F,4734.0,FORD MOTOR CO;COM STK USD0.01 ,9.15
20201218,345370860,F,2500.0,FORD MOTOR CO;COM STK USD0.01 ,9.08
20201221,345370860,F,2946.0,FORD MOTOR CO;COM STK USD0.01 ,8.95
20201222,345370860,F,5700.0,FORD MOTOR CO;COM STK USD0.01 ,8.93
20201228,345370860,F,22849.0,FORD MOTOR CO;COM STK USD0.01 ,8.86
20210104,345370860,F,89.0,FORD MOTOR CO;COM STK USD0.01 ,8.79
20210108,345370860,F,1.0,FORD MOTOR CO;COM STK USD0.01 ,9.06
20210111,345370860,F,1000.0,FORD MOTOR CO;COM STK USD0.01 ,9.0
20210112,345370860,F,2.0,FORD MOTOR CO;COM STK USD0.01 ,9.3
20210114,345370860,F,29715.0,FORD MOTOR CO;COM STK USD0.01 ,9.78
20210115,345370860,F,31978.0,FORD MOTOR CO;COM STK USD0.01 ,10.17
20210119,345370860,F,15000.0,FORD MOTOR CO;COM STK USD0.01 ,9.83
20210126,345370860,F,4150.0,FORD MOTOR CO;COM STK USD0.01 ,11.29
20210128,345370860,F,28910.0,FORD MOTOR CO;COM STK USD0.01 ,10.79
20210129,345370860,F,35367.0,FORD MOTOR CO;COM STK USD0.01 ,10.72
20210201,345370860,F,42.0,FORD MOTOR CO;COM STK USD0.01 ,10.53
20210202,345370860,F,2946.0,FORD MOTOR CO;COM STK USD0.01 ,10.83
20210205,345370860,F,1578.0,FORD MOTOR CO;COM STK USD0.01 ,11.37
20210208,345370860,F,15052.0,FORD MOTOR CO;COM STK USD0.01 ,11.51
20210209,345370860,F,2000.0,FORD MOTOR CO;COM STK USD0.01 ,11.56
20210210,345370860,F,21825.0,FORD MOTOR CO;COM STK USD0.01 ,11.93
20210211,345370860,F,478.0,FORD MOTOR CO;COM STK USD0.01 ,11.76
20210212,345370860,F,21726.0,FORD MOTOR CO;COM STK USD0.01 ,11.45
20210216,345370860,F,121.0,FORD MOTOR CO;COM STK USD0.01 ,11.45
20210217,345370860,F,186.0,FORD MOTOR CO;COM STK USD0.01 ,11.54
20210218,345370860,F,2455.0,FORD MOTOR CO;COM STK USD0.01 ,11.48
20210219,345370860,F,20200.0,FORD MOTOR CO;COM STK USD0.01 ,11.43
20210222,345370860,F,19502.0,FORD MOTOR CO;COM STK USD0.01 ,11.58
20210223,345370860,F,35263.0,FORD MOTOR CO;COM STK USD0.01 ,11.7
20210224,345370860,F,46145.0,FORD MOTOR CO;COM STK USD0.01 ,11.62
20210225,345370860,F,2181.0,FORD MOTOR CO;COM STK USD0.01 ,12.27
20210301,345370860,F,18822.0,FORD MOTOR CO;COM STK USD0.01 ,11.7
20210302,345370860,F,1100.0,FORD MOTOR CO;COM STK USD0.01 ,11.98
20210309,345370860,F,8100.0,FORD MOTOR CO;COM STK USD0.01 ,12.65
20210310,345370860,F,6724.0,FORD MOTOR CO;COM STK USD0.01 ,12.57
20210311,345370860,F,1.0,FORD MOTOR CO;COM STK USD0.01 ,12.91
20210315,345370860,F,22208.0,FORD MOTOR CO;COM STK USD0.01 ,13.37
20210316,345370860,F,109300.0,FORD MOTOR CO;COM STK USD0.01 ,13.2
20210318,345370860,F,2718.0,FORD MOTOR CO;COM STK USD0.01 ,12.69
20210319,345370860,F,470381.0,FORD MOTOR CO;COM STK USD0.01 ,12.49
20210323,345370860,F,8700.0,FORD MOTOR CO;COM STK USD0.01 ,12.85
20210326,345370860,F,28589.0,FORD MOTOR CO;COM STK USD0.01 ,12.32
20210330,345370860,F,452.0,FORD MOTOR CO;COM STK USD0.01 ,12.15
20210406,345370860,F,9486.0,FORD MOTOR CO;COM STK USD0.01 ,12.7
20210408,345370860,F,223585.0,FORD MOTOR CO;COM STK USD0.01 ,12.73
20210409,345370860,F,126508.0,FORD MOTOR CO;COM STK USD0.01 ,12.51
20210413,345370860,F,7832.0,FORD MOTOR CO;COM STK USD0.01 ,12.38
20210415,345370860,F,14845.0,FORD MOTOR CO;COM STK USD0.01 ,12.24
20210416,345370860,F,7102.0,FORD MOTOR CO;COM STK USD0.01 ,12.24
20210419,345370860,F,57398.0,FORD MOTOR CO;COM STK USD0.01 ,12.23
20210420,345370860,F,28027.0,FORD MOTOR CO;COM STK USD0.01 ,12.11
20210421,345370860,F,11789.0,FORD MOTOR CO;COM STK USD0.01 ,11.45
20210426,345370860,F,126135.0,FORD MOTOR CO;COM STK USD0.01 ,12.22
20210427,345370860,F,27864.0,FORD MOTOR CO;COM STK USD0.01 ,12.27
20210428,345370860,F,2170.0,FORD MOTOR CO;COM STK USD0.01 ,12.49
20210429,345370860,F,28158.0,FORD MOTOR CO;COM STK USD0.01 ,12.43
20210503,345370860,F,113205.0,FORD MOTOR CO;COM STK USD0.01 ,11.54
20210505,345370860,F,419.0,FORD MOTOR CO;COM STK USD0.01 ,11.41
20210507,345370860,F,13776.0,FORD MOTOR CO;COM STK USD0.01 ,11.74
20210511,345370860,F,3260.0,FORD MOTOR CO;COM STK USD0.01 ,11.71
20210512,345370860,F,2567.0,FORD MOTOR CO;COM STK USD0.01 ,11.58
20210513,345370860,F,100.0,FORD MOTOR CO;COM STK USD0.01 ,11.33
20210514,345370860,F,13523.0,FORD MOTOR CO;COM STK USD0.01 ,11.55
20210518,345370860,F,17877.0,FORD MOTOR CO;COM STK USD0.01 ,12.15
20210519,345370860,F,222397.0,FORD MOTOR CO;COM STK USD0.01 ,12.14
20210520,345370860,F,268906.0,FORD MOTOR CO;COM STK USD0.01 ,12.11
20210524,345370860,F,200.0,FORD MOTOR CO;COM STK USD0.01 ,13.33
20210525,345370860,F,39793.0,FORD MOTOR CO;COM STK USD0.01 ,13.06
20210526,345370860,F,104736.0,FORD MOTOR CO;COM STK USD0.01 ,12.81
20210527,345370860,F,17020.0,FORD MOTOR CO;COM STK USD0.01 ,13.90
20210528,345370860,F,13402.0,FORD MOTOR CO;COM STK USD0.01 ,14.88
