SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20210105,458140100,INTC,1500.0,INTEL CORP;COM USD0.001,49.67
20210106,458140100,INTC,5350.0,INTEL CORP;COM USD0.001,50.61
20210107,458140100,INTC,1694.0,INTEL CORP;COM USD0.001,51.1
20210108,458140100,INTC,1383.0,INTEL CORP;COM USD0.001,52.19
20210111,458140100,INTC,10699.0,INTEL CORP;COM USD0.001,51.65
20210113,458140100,INTC,4807.0,INTEL CORP;COM USD0.001,53.24
20210114,458140100,INTC,275319.0,INTEL CORP;COM USD0.001,56.95
20210115,458140100,INTC,32596.0,INTEL CORP;COM USD0.001,59.25
20210119,458140100,INTC,9634.0,INTEL CORP;COM USD0.001,57.58
20210120,458140100,INTC,492580.0,INTEL CORP;COM USD0.001,57.99
20210121,458140100,INTC,28260.0,INTEL CORP;COM USD0.001,58.67
20210122,458140100,INTC,28043.0,INTEL CORP;COM USD0.001,62.46
20210128,458140100,INTC,32563.0,INTEL CORP;COM USD0.001,53.59
20210201,458140100,INTC,3240.0,INTEL CORP;COM USD0.001,55.51
20210202,458140100,INTC,4900.0,INTEL CORP;COM USD0.001,56.69
20210205,458140100,INTC,15500.0,INTEL CORP;COM USD0.001,58.79
20210208,458140100,INTC,4625.0,INTEL CORP;COM USD0.001,58.18
20210209,458140100,INTC,6294.0,INTEL CORP;COM USD0.001,59.16
20210212,458140100,INTC,5195.0,INTEL CORP;COM USD0.001,60.66
20210217,458140100,INTC,8280.0,INTEL CORP;COM USD0.001,62.47
20210219,458140100,INTC,11868.0,INTEL CORP;COM USD0.001,61.61
20210222,458140100,INTC,2004.0,INTEL CORP;COM USD0.001,63.01
20210223,458140100,INTC,60055.0,INTEL CORP;COM USD0.001,60.71
20210224,458140100,INTC,2453.0,INTEL CORP;COM USD0.001,61.12
20210225,458140100,INTC,7656.0,INTEL CORP;COM USD0.001,63.19
20210226,458140100,INTC,304902.0,INTEL CORP;COM USD0.001,60.4
20210301,458140100,INTC,1461997.0,INTEL CORP;COM USD0.001,60.78
20210302,458140100,INTC,4808.0,INTEL CORP;COM USD0.001,62.88
20210303,458140100,INTC,681.0,INTEL CORP;COM USD0.001,61.24
20210304,458140100,INTC,1.0,INTEL CORP;COM USD0.001,59.9
20210305,458140100,INTC,1150.0,INTEL CORP;COM USD0.001,58.33
20210308,458140100,INTC,10508.0,INTEL CORP;COM USD0.001,60.74
20210309,458140100,INTC,4300.0,INTEL CORP;COM USD0.001,59.85
20210310,458140100,INTC,125.0,INTEL CORP;COM USD0.001,62.67
20210311,458140100,INTC,18490.0,INTEL CORP;COM USD0.001,62.25
20210312,458140100,INTC,1360.0,INTEL CORP;COM USD0.001,63.31
20210316,458140100,INTC,34599.0,INTEL CORP;COM USD0.001,63.79
20210318,458140100,INTC,500.0,INTEL CORP;COM USD0.001,65.78
