SETTLEMENT DATE,CUSIP,SYMBOL,QUANTITY (FAILS),DESCRIPTION,PRICE
20201030,594918104,MSFT,75370.0,MICROSOFT CORP;COM USD0.000012,204.72
20201104,594918104,MSFT,1150.0,MICROSOFT CORP;COM USD0.000012,206.43
20201105,594918104,MSFT,4226.0,MICROSOFT CORP;COM USD0.000012,216.39
20201106,594918104,MSFT,1320.0,MICROSOFT CORP;COM USD0.000012,223.29
20201109,594918104,MSFT,502.0,MICROSOFT CORP;COM USD0.000012,223.72
20201110,594918104,MSFT,30901.0,MICROSOFT CORP;COM USD0.000012,218.39
20201117,594918104,MSFT,107.0,MICROSOFT CORP;COM USD0.000012,217.23
20201118,594918104,MSFT,12234.0,MICROSOFT CORP;COM USD0.000012,214.46
20201119,594918104,MSFT,3500.0,MICROSOFT CORP;COM USD0.000012,211.08
20201120,594918104,MSFT,1022.0,MICROSOFT CORP;COM USD0.000012,212.42
20201123,594918104,MSFT,462.0,MICROSOFT CORP;COM USD0.000012,210.39
20201124,594918104,MSFT,1.0,MICROSOFT CORP;COM USD0.000012,210.11
20201125,594918104,MSFT,101416.0,MICROSOFT CORP;COM USD0.000012,213.86
20201201,594918104,MSFT,5600.0,MICROSOFT CORP;COM USD0.000012,214.07
20201204,594918104,MSFT,66146.0,MICROSOFT CORP;COM USD0.000012,214.24
20201207,594918104,MSFT,44613.0,MICROSOFT CORP;COM USD0.000012,214.36
20201208,594918104,MSFT,12988.0,MICROSOFT CORP;COM USD0.000012,214.29
20201210,594918104,MSFT,4552.0,MICROSOFT CORP;COM USD0.000012,211.8
20201211,594918104,MSFT,3324.0,MICROSOFT CORP;COM USD0.000012,210.52
20201214,594918104,MSFT,25220.0,MICROSOFT CORP;COM USD0.000012,213.26
20201215,594918104,MSFT,10472.0,MICROSOFT CORP;COM USD0.000012,214.2
20201217,594918104,MSFT,158.0,MICROSOFT CORP;COM USD0.000012,219.28
20201218,594918104,MSFT,9949.0,MICROSOFT CORP;COM USD0.000012,219.42
20201221,594918104,MSFT,1.0,MICROSOFT CORP;COM USD0.000012,218.59
20201222,594918104,MSFT,101.0,MICROSOFT CORP;COM USD0.000012,222.59
20201223,594918104,MSFT,16192.0,MICROSOFT CORP;COM USD0.000012,223.94
20201228,594918104,MSFT,60508.0,MICROSOFT CORP;COM USD0.000012,222.75
20201229,594918104,MSFT,2759.0,MICROSOFT CORP;COM USD0.000012,224.96
20201230,594918104,MSFT,21250.0,MICROSOFT CORP;COM USD0.000012,224.15
20210104,594918104,MSFT,60.0,MICROSOFT CORP;COM USD0.000012,222.42
20210105,594918104,MSFT,561.0,MICROSOFT CORP;COM USD0.000012,217.69
20210106,594918104,MSFT,19744.0,MICROSOFT CORP;COM USD0.000012,217.9
20210107,594918104,MSFT,208844.0,MICROSOFT CORP;COM USD0.000012,212.25
20210108,594918104,MSFT,1349.0,MICROSOFT CORP;COM USD0.000012,218.29
20210111,594918104,MSFT,1175.0,MICROSOFT CORP;COM USD0.000012,219.62
20210114,594918104,MSFT,258.0,MICROSOFT CORP;COM USD0.000012,216.34
20210115,594918104,MSFT,1013.0,MICROSOFT CORP;COM USD0.000012,213.02
20210120,594918104,MSFT,34126.0,MICROSOFT CORP;COM USD0.000012,216.44
20210121,594918104,MSFT,22010.0,MICROSOFT CORP;COM USD0.000012,224.34
20210122,594918104,MSFT,15000.0,MICROSOFT CORP;COM USD0.000012,224.97
20210126,594918104,MSFT,4559.0,MICROSOFT CORP;COM USD0.000012,229.53
20210127,594918104,MSFT,22255.0,MICROSOFT CORP;COM USD0.000012,232.33
20210128,594918104,MSFT,258074.0,MICROSOFT CORP;COM USD0.000012,232.9
20210129,594918104,MSFT,134211.0,MICROSOFT CORP;COM USD0.000012,238.93
20210201,594918104,MSFT,433.0,MICROSOFT CORP;COM USD0.000012,231.96
20210202,594918104,MSFT,4900.0,MICROSOFT CORP;COM USD0.000012,239.65
20210203,594918104,MSFT,10813.0,MICROSOFT CORP;COM USD0.000012,239.51
20210205,594918104,MSFT,2070.0,MICROSOFT CORP;COM USD0.000012,242.01
20210209,594918104,MSFT,7000.0,MICROSOFT CORP;COM USD0.000012,242.47
20210210,594918104,MSFT,95.0,MICROSOFT CORP;COM USD0.000012,243.77
20210211,594918104,MSFT,5040.0,MICROSOFT CORP;COM USD0.000012,242.82
20210212,594918104,MSFT,4814.0,MICROSOFT CORP;COM USD0.000012,244.49
20210216,594918104,MSFT,5.0,MICROSOFT CORP;COM USD0.000012,244.99
20210217,594918104,MSFT,4400.0,MICROSOFT CORP;COM USD0.000012,243.7
20210218,594918104,MSFT,12574.0,MICROSOFT CORP;COM USD0.000012,244.2
20210219,594918104,MSFT,350.0,MICROSOFT CORP;COM USD0.000012,243.79
20210222,594918104,MSFT,456.0,MICROSOFT CORP;COM USD0.000012,240.97
20210223,594918104,MSFT,1147.0,MICROSOFT CORP;COM USD0.000012,234.51
20210224,594918104,MSFT,797.0,MICROSOFT CORP;COM USD0.000012,233.27
20210225,594918104,MSFT,798.0,MICROSOFT CORP;COM USD0.000012,234.55
20210226,594918104,MSFT,799.0,MICROSOFT CORP;COM USD0.000012,228.99
20210301,594918104,MSFT,2200.0,MICROSOFT CORP;COM USD0.000012,232.38
20210302,594918104,MSFT,2312.0,MICROSOFT CORP;COM USD0.000012,236.94
20210303,594918104,MSFT,800.0,MICROSOFT CORP;COM USD0.000012,233.87
20210304,594918104,MSFT,911.0,MICROSOFT CORP;COM USD0.000012,227.56
20210305,594918104,MSFT,4956.0,MICROSOFT CORP;COM USD0.000012,226.73
20210308,594918104,MSFT,800.0,MICROSOFT CORP;COM USD0.000012,231.6
20210309,594918104,MSFT,9189.0,MICROSOFT CORP;COM USD0.000012,227.39
20210310,594918104,MSFT,741.0,MICROSOFT CORP;COM USD0.000012,233.78
20210316,594918104,MSFT,713.0,MICROSOFT CORP;COM USD0.000012,234.81
20210317,594918104,MSFT,713.0,MICROSOFT CORP;COM USD0.000012,237.71
20210318,594918104,MSFT,4098.0,MICROSOFT CORP;COM USD0.000012,237.04
20210319,594918104,MSFT,905.0,MICROSOFT CORP;COM USD0.000012,230.72
20210326,594918104,MSFT,8604.0,MICROSOFT CORP;COM USD0.000012,232.34
20210329,594918104,MSFT,8897.0,MICROSOFT CORP;COM USD0.000012,236.48
20210330,594918104,MSFT,800.0,MICROSOFT CORP;COM USD0.000012,235.24
20210331,594918104,MSFT,35961.0,MICROSOFT CORP;COM USD0.000012,231.85
20210401,594918104,MSFT,19821.0,MICROSOFT CORP;COM USD0.000012,235.77
20210405,594918104,MSFT,78057.0,MICROSOFT CORP;COM USD0.000012,242.35
20210406,594918104,MSFT,6551.0,MICROSOFT CORP;COM USD0.000012,249.07
20210407,594918104,MSFT,299695.0,MICROSOFT CORP;COM USD0.000012,247.86
20210408,594918104,MSFT,13981.0,MICROSOFT CORP;COM USD0.000012,249.9
20210409,594918104,MSFT,7162.0,MICROSOFT CORP;COM USD0.000012,253.25
20210412,594918104,MSFT,45043.0,MICROSOFT CORP;COM USD0.000012,255.85
20210413,594918104,MSFT,17795.0,MICROSOFT CORP;COM USD0.000012,255.91
20210414,594918104,MSFT,15.0,MICROSOFT CORP;COM USD0.000012,258.49
20210419,594918104,MSFT,10515.0,MICROSOFT CORP;COM USD0.000012,260.74
20210420,594918104,MSFT,5002.0,MICROSOFT CORP;COM USD0.000012,258.74
20210422,594918104,MSFT,2092.0,MICROSOFT CORP;COM USD0.000012,260.58
20210423,594918104,MSFT,35607.0,MICROSOFT CORP;COM USD0.000012,257.17
20210426,594918104,MSFT,72.0,MICROSOFT CORP;COM USD0.000012,261.15
20210427,594918104,MSFT,38681.0,MICROSOFT CORP;COM USD0.000012,261.55
20210503,594918104,MSFT,103087.0,MICROSOFT CORP;COM USD0.000012,252.18
20210510,594918104,MSFT,50.0,MICROSOFT CORP;COM USD0.000012,252.46
20210511,594918104,MSFT,200.0,MICROSOFT CORP;COM USD0.000012,247.18
20210512,594918104,MSFT,23614.0,MICROSOFT CORP;COM USD0.000012,246.23
20210517,594918104,MSFT,23136.0,MICROSOFT CORP;COM USD0.000012,248.15
20210518,594918104,MSFT,20271.0,MICROSOFT CORP;COM USD0.000012,245.18
20210519,594918104,MSFT,7491.0,MICROSOFT CORP;COM USD0.000012,243.08
20210520,594918104,MSFT,797.0,MICROSOFT CORP;COM USD0.000012,243.12
20210521,594918104,MSFT,200.0,MICROSOFT CORP;COM USD0.000012,246.48
20210524,594918104,MSFT,10725.0,MICROSOFT CORP;COM USD0.000012,245.17
20210526,594918104,MSFT,2240.0,MICROSOFT CORP;COM USD0.000012,251.72
20210528,594918104,MSFT,29.0,MICROSOFT CORP;COM USD0.000012,249.31
